feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3a8cde26979f03989e6a8daa6b6afe3f	antidepressant_on_off	on	0.0135053989623294	0.0150353899400363	104	68	0.371172694202189	0.899241014717205
X6f6bb5719a47837bec3b21f081649fa1	antidepressant_on_off	on	-0.0218177335834084	0.0176462169534802	104	24	0.219150423612692	0.899241014717205
X624bf43afb17a855a6d5c7b51078d497	antidepressant_on_off	on	-0.0316724624351967	0.0194286724136197	104	39	0.106145282689802	0.899241014717205
X51aa2158188e220896f9ae6799b3799f	antidepressant_on_off	on	0.0394431260961543	0.0180615208137929	104	32	0.0312671196042449	0.899241014717205
X250ae434718610d409882ad11002f97d	antidepressant_on_off	on	-0.0250791217487418	0.0182859250804382	104	20	0.173229100992131	0.899241014717205
X7b73f487be48db4355bd16e9c7fcd104	antidepressant_on_off	on	0.0222393657425106	0.0153510134830186	104	51	0.150482248931728	0.899241014717205
X34b8adfd383e67b3a25385389ecc77de	antidepressant_on_off	on	-0.0235816649751969	0.0186972225684198	104	18	0.210099764952798	0.899241014717205
X37bcb14fa58242d26a64d6e6f3c67665	antidepressant_on_off	on	0.0236564027492575	0.0191822654589342	104	20	0.220319480122248	0.899241014717205
X0d3b0b9d68763805793f9266323bf863	antidepressant_on_off	on	0.0200242402029104	0.0183153448266615	104	30	0.276835685634346	0.899241014717205
X16d12481fde3cfa6a4db366d25411122	antidepressant_on_off	on	0.0136478698505418	0.0163738007967395	104	55	0.406499868406547	0.935594935221418
f026bc3d92e943febaa74d620be5400d	antidepressant_on_off	on	0.0128860916653554	0.0152610974418954	104	65	0.400435881818624	0.935594935221418
X771297580338a662f0c1fb0000f33e3c	antidepressant_on_off	on	-0.0142281181691462	0.01837257273179	104	18	0.440472901370049	0.943431789485936
X01901d6f4c906a71e2488045523ca7c2	antidepressant_on_off	on	0.0145545835332287	0.0185458623783019	104	16	0.434396401241251	0.943431789485936
a80bf7b1576855543aaeed1c9d8be02d	antidepressant_on_off	on	-0.0144806977803999	0.0187039794214967	104	26	0.440600938172845	0.943431789485936
X3b482af565b56c1b175737c5a08f86fb	antidepressant_on_off	on	-0.0146171046879227	0.0188781844277154	104	22	0.440553027077297	0.943431789485936
X699913be41bb8e0253dcbfa042984047	antidepressant_on_off	on	0.0133505989811658	0.0173139622266906	104	33	0.442436977138232	0.943431789485936
c49bc9c1c22dd48888d2e1e060306218	antidepressant_on_off	on	0.0143863404489594	0.0212914026906039	104	28	0.500767951401403	0.963256048152776
X1b91af1335f5b38083d553659b358c45	antidepressant_on_off	on	0.00153345533400107	0.0164837073737219	104	54	0.926063363668943	0.963256048152776
X0ed13e9a3209e5ef433060aacd9e16ad	antidepressant_on_off	on	0.0120392921455761	0.0181270820267575	104	30	0.508086170075875	0.963256048152776
f64933c998313b78c2179f488bfb0953	antidepressant_on_off	on	0.00777654383758723	0.0168907957100842	104	33	0.64620824712118	0.963256048152776
b1312478658160c25c92a75d5272c96d	antidepressant_on_off	on	-0.00932391504519823	0.0177941090691399	104	56	0.601423030097624	0.963256048152776
X8878e25191e464f0a29c75e59a14a9c1	antidepressant_on_off	on	0.011143533686054	0.0191857748518351	104	12	0.562641090565406	0.963256048152776
X3a7495f68945aa7071868ee6f0255243	antidepressant_on_off	on	-0.00513866052205927	0.0166905653725319	104	41	0.758802854537962	0.963256048152776
X9132071c6a76ae971f847adc316f0af8	antidepressant_on_off	on	0.00753812703657411	0.0204733190919263	104	60	0.713492547969147	0.963256048152776
X265f63913fa0c782699945b493eeaeca	antidepressant_on_off	on	0.00729176745214348	0.0199228698873149	104	23	0.715123186412494	0.963256048152776
d348b3e42b9cd325d1f0088462aedcf3	antidepressant_on_off	on	0.0123943114588184	0.0167082719991168	104	44	0.459909011400345	0.963256048152776
X6529f9e2b6de004f778a46eb4152553f	antidepressant_on_off	on	-0.00659911087552547	0.0172208662089848	104	44	0.702365736318506	0.963256048152776
c5f3f2c2df993aa6d42e7a77918935df	antidepressant_on_off	on	-0.00641595194054281	0.0199781463420126	104	21	0.748754956508718	0.963256048152776
X130a8330de52a69354df4f227b62c052	antidepressant_on_off	on	0.00477456139011168	0.0184279710900781	104	26	0.796085524261208	0.963256048152776
d3a7153014cbb497d7bd025e099be3fe	antidepressant_on_off	on	0.00529919465954877	0.0182607787207706	104	24	0.772255874974964	0.963256048152776
X43dc4561632b971be06fe9603e0864ad	antidepressant_on_off	on	0.00239873705401218	0.0173300261501112	104	36	0.890185272169634	0.963256048152776
