"","taxon","lfc_(Intercept)","lfc_antidepressant_on_offon","se_(Intercept)","se_antidepressant_on_offon","W_(Intercept)","W_antidepressant_on_offon","p_(Intercept)","p_antidepressant_on_offon","q_(Intercept)","q_antidepressant_on_offon","diff_(Intercept)","diff_antidepressant_on_offon","passed_ss_(Intercept)","passed_ss_antidepressant_on_offon","diff_robust_(Intercept)","diff_robust_antidepressant_on_offon"
"24","d3a7153014cbb497d7bd025e099be3fe",0.273745828606124,-0.354979417660293,0.0626844361119728,0.149499286247751,4.36704620134308,-2.37445560156065,0.000246131512631492,0.0267213198290921,0.00123914485669648,0.0848111455445096,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"25","43dc4561632b971be06fe9603e0864ad",-0.136889726390374,0.513563539228236,0.0857009971423938,0.168491662648981,-1.59729444177796,3.04800564701022,0.119453869906383,0.004436576617823,0.218003312579148,0.0244670380978302,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"26","7a719f10db03cf19d136e08224ba0da9",0.149967474160158,-0.0145105522366076,0.0987102187028699,0.181448964719296,1.51927000193951,-0.07997043278288,0.138514167738615,0.936758814669938,0.243651427588407,0.956411097495182,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"27","dc0a91a3f930fef8628944f01c976b6a",-0.189184870883168,0.377880488642567,0.107662624341228,0.181549286429636,-1.75720099747488,2.08142095226039,0.0881589411816443,0.0452301373483426,0.171616072166934,0.120065455506509,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"28","2fd96dc0d1649785e2b695005e5b6cbb",-0.00574355675996676,0.0792540129197095,0.114020839344358,0.186447371916853,-0.0503728686176433,0.425074443822428,0.960279811307406,0.674911229504447,0.991901883135862,0.757977226981917,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"29","81f53cd7f9d10322ad2f9e2e1f30a7cc",-0.282966016736807,0.231861874976878,0.0476801923358559,0.140567987731459,-5.93466600855161,1.64946428215097,6.87432526972543e-05,0.124964290510981,0.000495054901650272,0.243243248528399,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"30","18bbaffee20be0f8ffbf263c1b82da7d",-0.00119425941373933,0.19630381880572,0.117131330507006,0.203661286188126,-0.0101959006917274,0.963874001190341,0.991901883135862,0.339328058196629,0.991901883135862,0.500423196936443,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"31","6da2b787d29350a11f29bcb992887a84",0.488613941426376,-0.684141163157787,0.0846253715505512,0.163817590928303,5.77384692644453,-4.17623748024234,1.19357800356649e-05,0.000465897590173452,0.000152926601057455,0.00453473654435494,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"32","7130d2759c244668bb8c5e95013d039a",0.702648284066966,-0.94304950932259,0.206558643939628,0.319350882175082,3.4016890828947,-2.95301989742296,0.00135844508823049,0.00485989112902107,0.00566665665376149,0.0244670380978302,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"33","f8f3495ffa8ad111c9a314f196b839e4",-0.0590730656412805,0.210983581036521,0.0763258093946333,0.159426231529702,-0.773959242749073,1.3233931393355,0.446512402809573,0.198174172368797,0.582060810805336,0.325094709728588,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"34","42335451002e743fd705a300b373fb75",0.115070832601899,0.322534841790554,0.123942681531788,0.192506811977058,0.928419743544005,1.67544638279601,0.363739129046684,0.1086742322237,0.515591386804038,0.226663398638002,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35","5cf08d107f10bc4571dd491a9bcb59b3",0.594154551531238,-0.479310787634545,0.0748254554511192,0.154959974620103,7.9405403942964,-3.0931263947972,1.25693096759552e-05,0.0113831695847035,0.000152926601057455,0.044917371874776,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"36","91ac12f2a71a81a4a145517e0667c7c4",0.881660709490403,-1.15891537290336,0.113434006583541,0.199689236400307,7.77245498104738,-5.80359459425313,1.22628380991003e-06,3.47778954368402e-05,2.55767766066948e-05,0.00056417474819763,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"37","05b3c37966de355dc39930c4103ff589",0.587063505564292,-0.674436391094275,0.13607505441114,0.218390836509557,4.31426250832519,-3.08820828691116,0.000205201693827022,0.0047459272348873,0.00115228643456712,0.0244670380978302,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"38","53b54658de0c46c18eda9f4c5a232b65",0.450180689006703,-0.51684070157743,0.230738038799968,0.326623423492288,1.95104669931331,-1.58237488313398,0.0579078299704727,0.121248493941676,0.126187211577448,0.243243248528399,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"39","8a303db3d6b466981499de25a5ec66d4",0.175227611509383,-0.303875254201957,0.0881468586413019,0.167837802206063,1.98790534580978,-1.81052927414335,0.057049721958168,0.0813566007496559,0.126187211577448,0.182739441683842,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"40","01901d6f4c906a71e2488045523ca7c2",-0.241170400254253,0.0608949153824972,0.0494071595100423,0.141262162252358,-4.88128446658087,0.431077327513303,0.000242633297135271,0.672975648677024,0.00123914485669648,0.757977226981917,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"41","c91f61773a85a5101c797a8429bcb87e",-0.307290906853685,0.607354068870618,0.11886731971866,0.213265260591612,-2.58515887782271,2.84788093093914,0.0125772638996317,0.00628885412838229,0.0382558443613797,0.0286928969607442,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"42","001f5b5d17a34cb4bb03f20e9b6dc5df",0.245616385258067,-0.144592539869402,0.0995022321086703,0.1962042801205,2.46845100911726,-0.736948958404985,0.0199402505629268,0.467283979543247,0.0570838545526924,0.607887816025914,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
